"","Parameter","Mean","Standard Deviation"
"1","blub",2.00508474576271,3.64466656763634
"2","spruce",0.976271186440678,0.569736473580443
"3","sat",62.4189830508475,17.9876866595395
"4","pH",3.07179757262712,0.12497684004448
"5","peatCN",30.2557969425424,1.39715500075968
"6","DOC",2.1489754733,0.404521371545161
"7","DON",117.735224990829,81.7921553649963
"8","MBC",2.32292025560417,0.581125797708704
"9","MBN",10.3449479985714,68.3618597828275
"10","AG",25.2072772874407,8.28551195868996
"11","BG",611.225068759322,225.451654165405
"12","CBH",409.427534401695,139.35753240036
"13","NAG",146.660143845424,58.888099625375
"14","PHOS",449.984315342373,158.013851576509
"15","LAP",31.1341597061017,10.5235325737757
